iter	Logloss
0	0.5283666992
1	0.4443030273
2	0.4017806641
3	0.3735705078
4	0.3571562012
5	0.3498649658
6	0.3410784668
7	0.3363186035
8	0.3328716797
9	0.3280139648
10	0.3260425781
11	0.3216904053
12	0.3177667969
13	0.3164457031
14	0.3144774902
15	0.3130620605
16	0.3116237305
17	0.3102119141
18	0.3090706787
19	0.3075160156
20	0.3065494141
21	0.3054836426
22	0.3044308594
23	0.3032122559
24	0.3022591797
25	0.3002368164
26	0.2990654785
27	0.2975390625
28	0.2967924072
29	0.2960663818
30	0.2956433594
31	0.2947494141
32	0.2937219482
33	0.293294165
34	0.2930012939
35	0.2924664551
36	0.2910302734
37	0.2904908203
38	0.2894685791
39	0.2892245605
40	0.2887525391
41	0.2880297852
42	0.2872907227
43	0.2868563232
44	0.2862230713
45	0.2855356201
46	0.2851289307
47	0.2846352051
48	0.2840295654
49	0.2836222656
50	0.2831071289
51	0.282907959
52	0.2821404785
53	0.2819001221
54	0.2815582031
55	0.280859375
56	0.2805474854
57	0.2800514404
58	0.2796135986
59	0.2789453613
60	0.2784240479
61	0.2783526123
62	0.2775508301
63	0.2772995361
64	0.2770965088
65	0.2767102051
66	0.2760345459
67	0.2746480713
68	0.2739706543
69	0.273301416
70	0.2726648682
71	0.2719603516
72	0.271620752
73	0.2712347656
74	0.2710289551
75	0.2707695557
76	0.2702798096
77	0.2697647705
78	0.2696541992
79	0.2690977051
80	0.2685293945
81	0.268025708
82	0.26754729
83	0.2670689453
84	0.2667871094
85	0.2655936768
86	0.2654195801
87	0.265120459
88	0.2647977051
89	0.2644762695
90	0.2639374268
91	0.2637723633
92	0.2634335693
93	0.2631073975
94	0.2628001465
95	0.2626083252
96	0.2617370117
97	0.2610770752
98	0.2607261719
99	0.2605057861
