iter	Passed	Remaining
0	4	403
1	10	501
2	13	441
3	18	438
4	22	434
5	25	406
6	28	383
7	31	360
8	34	343
9	36	332
10	40	331
11	44	323
12	49	329
13	53	326
14	56	321
15	66	351
16	70	343
17	73	335
18	79	337
19	82	329
20	85	322
21	90	322
22	95	319
23	98	310
24	101	303
25	105	300
26	108	293
27	111	287
28	114	280
29	117	274
30	121	270
31	124	264
32	127	259
33	130	253
34	133	248
35	137	243
36	140	239
37	143	234
38	146	229
39	150	225
40	155	224
41	159	219
42	162	214
43	165	210
44	168	206
45	171	201
46	175	197
47	184	199
48	190	198
49	194	194
50	196	189
51	199	184
52	202	179
53	205	175
54	208	170
55	211	165
56	214	161
57	217	157
58	221	153
59	227	151
60	230	147
61	233	143
62	236	138
63	239	134
64	242	130
65	244	126
66	247	122
67	250	117
68	253	114
69	256	109
70	259	106
71	262	102
72	265	98
73	269	94
74	272	90
75	275	86
76	278	83
77	281	79
78	283	75
79	286	71
80	289	67
81	292	64
82	295	60
83	298	56
84	301	53
85	304	49
86	307	45
87	309	42
88	312	38
89	316	35
90	319	31
91	322	28
92	325	24
93	328	20
94	331	17
95	334	13
96	338	10
97	341	6
98	344	3
99	347	0
