age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y (yes or no)  ,probability of yes (or score)
37, Private,162322, Assoc-voc,11, Separated, Craft-repair, Not-in-family, White, Female,0,0,40, United-States,,
46, Private,129007, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,41, United-States,,
44, Private,76487, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,,
47, Private,32825, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,,
33, Private,202191, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States,,
41, Private,344519, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,13550,0,60, United-States,,
52, Private,243616, 5th-6th,3, Separated, Craft-repair, Unmarried, Black, Female,4101,0,40, United-States,,
46, Self-emp-inc,328216, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,45, United-States,,
25, Private,48280, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,,
25, Private,250038, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,,
70, Private,50468, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,3175,15, United-States,,
41, Private,316820, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States,,
41, Private,177054, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States,,
23, Private,208946, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,40, United-States,,
34, Private,228386, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, Black, Female,0,0,70, United-States,,
59, Self-emp-not-inc,275236, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,,
29, Private,209173, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,,
27, State-gov,152560, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,,
46, Private,64563, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,45, United-States,,
33, Private,307693, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,30, United-States,,
44, Self-emp-inc,327573, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,,
32, Private,312403, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,,
50, Self-emp-not-inc,118058, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,55, United-States,,
24, Private,206974, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,,
34, Private,181152, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,35, United-States,,
34, Local-gov,32587, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States,,
24, Private,193416, Assoc-acdm,12, Never-married, Other-service, Own-child, White, Female,0,0,3, United-States,,
